[2025-12-11 11:21:10] INPUT_ACTION | Char
[2025-12-11 11:21:14] INPUT_ACTION | Enter
[2025-12-11 11:21:19] INPUT_ACTION | Q
[2025-12-11 11:21:42] INPUT_ACTION | Q
[2025-12-11 11:43:28] INPUT_ACTION | Enter
[2025-12-11 11:43:31] INPUT_ACTION | Enter
[2025-12-11 11:43:35] INPUT_ACTION | Down
[2025-12-11 11:43:36] INPUT_ACTION | Down
[2025-12-11 11:43:36] INPUT_ACTION | Down
[2025-12-11 11:43:36] INPUT_ACTION | Down
[2025-12-11 11:43:37] INPUT_ACTION | Up
[2025-12-11 11:43:38] INPUT_ACTION | Up
[2025-12-11 11:43:38] INPUT_ACTION | Down
[2025-12-11 11:43:38] INPUT_ACTION | Up
[2025-12-11 11:43:39] INPUT_ACTION | Up
[2025-12-11 11:43:39] INPUT_ACTION | Up
[2025-12-11 11:43:40] INPUT_ACTION | Enter
[2025-12-11 11:43:41] INPUT_ACTION | Down
[2025-12-11 11:43:42] INPUT_ACTION | Enter
[2025-12-11 11:43:42] INPUT_ACTION | Down
[2025-12-11 11:43:42] INPUT_ACTION | Enter
[2025-12-11 11:43:43] INPUT_ACTION | Enter
[2025-12-11 11:43:43] INPUT_ACTION | Enter
[2025-12-11 11:43:43] INPUT_ACTION | Enter
[2025-12-11 11:43:44] INPUT_ACTION | Enter
[2025-12-11 11:43:44] INPUT_ACTION | Q
[2025-12-11 11:44:35] INPUT_ACTION | Down
[2025-12-11 11:44:36] INPUT_ACTION | Down
[2025-12-11 11:45:04] INPUT_ACTION | Enter
[2025-12-11 11:45:05] INPUT_ACTION | Enter
[2025-12-11 11:45:07] INPUT_ACTION | Enter
[2025-12-11 11:45:07] INPUT_ACTION | Enter
[2025-12-11 11:45:49] INPUT_ACTION | Enter
[2025-12-11 11:45:52] INPUT_ACTION | Enter
[2025-12-11 11:45:53] INPUT_ACTION | Down
[2025-12-11 11:45:54] INPUT_ACTION | Enter
[2025-12-11 11:45:54] INPUT_ACTION | Down
[2025-12-11 11:45:55] INPUT_ACTION | Enter
[2025-12-11 11:45:55] INPUT_ACTION | Down
[2025-12-11 11:45:56] INPUT_ACTION | Enter
[2025-12-11 11:45:56] INPUT_ACTION | Down
[2025-12-11 11:48:44] INPUT_ACTION | Char
[2025-12-11 11:48:44] INPUT_ACTION | Char
[2025-12-11 11:48:44] INPUT_ACTION | Char
[2025-12-11 11:48:45] INPUT_ACTION | Char
[2025-12-11 11:48:45] INPUT_ACTION | Char
[2025-12-11 11:48:45] INPUT_ACTION | Enter
[2025-12-11 11:48:53] INPUT_ACTION | Enter
[2025-12-11 11:48:54] INPUT_ACTION | Q
[2025-12-11 11:53:13] INPUT_ACTION | Enter
[2025-12-11 12:00:42] INPUT_ACTION | Up
[2025-12-11 12:00:43] INPUT_ACTION | Down
[2025-12-11 12:00:47] INPUT_ACTION | Enter
[2025-12-11 12:12:30] INPUT_ACTION | Char
[2025-12-11 12:12:30] INPUT_ACTION | Enter
[2025-12-11 12:13:05] INPUT_ACTION | Enter
[2025-12-11 12:13:14] INPUT_ACTION | Enter
[2025-12-11 12:13:16] INPUT_ACTION | Q
[2025-12-11 12:15:34] INPUT_ACTION | Enter
[2025-12-11 12:20:32] INPUT_ACTION | Enter
[2025-12-11 12:20:33] INPUT_ACTION | Down
[2025-12-11 12:20:34] INPUT_ACTION | Down
[2025-12-11 12:20:35] INPUT_ACTION | Down
[2025-12-11 12:20:36] INPUT_ACTION | Down
[2025-12-11 12:20:38] INPUT_ACTION | Up
[2025-12-11 12:20:38] INPUT_ACTION | Up
[2025-12-11 12:20:44] INPUT_ACTION | Enter
[2025-12-11 12:20:46] INPUT_ACTION | Q
[2025-12-11 12:24:12] INPUT_ACTION | Enter
[2025-12-11 12:24:13] INPUT_ACTION | Down
[2025-12-11 12:24:13] INPUT_ACTION | Down
[2025-12-11 12:24:20] INPUT_ACTION | Enter
[2025-12-11 12:24:23] INPUT_ACTION | Escape
[2025-12-11 12:24:23] INPUT_ACTION | Down
[2025-12-11 12:24:24] INPUT_ACTION | Up
[2025-12-11 12:24:24] INPUT_ACTION | Enter
[2025-12-11 12:24:25] INPUT_ACTION | Down
[2025-12-11 12:24:28] INPUT_ACTION | Enter
[2025-12-11 12:24:29] INPUT_ACTION | Q
[2025-12-11 12:25:57] INPUT_ACTION | Enter
[2025-12-11 12:25:58] INPUT_ACTION | Down
[2025-12-11 12:25:58] INPUT_ACTION | Down
[2025-12-11 12:25:59] INPUT_ACTION | Down
[2025-12-11 12:26:05] INPUT_ACTION | Enter
[2025-12-11 12:26:06] INPUT_ACTION | Down
[2025-12-11 12:26:07] INPUT_ACTION | Escape
[2025-12-11 12:26:08] INPUT_ACTION | Down
[2025-12-11 12:26:21] INPUT_ACTION | Enter
[2025-12-11 12:26:22] INPUT_ACTION | Down
[2025-12-11 12:26:24] INPUT_ACTION | Enter
[2025-12-11 12:26:24] INPUT_ACTION | Down
[2025-12-11 12:26:25] INPUT_ACTION | Enter
[2025-12-11 12:26:26] INPUT_ACTION | Q
[2025-12-11 12:28:30] INPUT_ACTION | Enter
[2025-12-11 12:28:31] INPUT_ACTION | Down
[2025-12-11 12:28:33] INPUT_ACTION | Enter
[2025-12-11 12:28:33] INPUT_ACTION | Up
[2025-12-11 12:28:36] INPUT_ACTION | Escape
[2025-12-11 12:28:37] INPUT_ACTION | Down
[2025-12-11 12:28:39] INPUT_ACTION | Enter
[2025-12-11 12:28:40] INPUT_ACTION | Down
[2025-12-11 12:28:42] INPUT_ACTION | Enter
[2025-12-11 12:28:43] INPUT_ACTION | Down
[2025-12-11 12:28:45] INPUT_ACTION | Enter
[2025-12-11 12:28:46] INPUT_ACTION | Q
